ir_centre_stalls_2,,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000,16000
T20 [s],,1.483,1.359,1.11,1.123,1.116,1.152,1.075,0.921,0.617,0.405
T30 [s],,1.798,1.284,1.23,1.066,1.077,1.105,1.067,0.879,0.611,0.395
T60,,1.6405,1.3215,1.17,1.0945,1.0965,1.1285,1.071,0.9,0.614,0.4
STI male,,0.76 (Excellent),,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
ir_centre_stalls_4,,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000,16000
T20 [s],,1.687,1.212,1.196,1.085,1.083,1.063,0.994,0.811,0.621,0.388
T30 [s],,1.773,1.446,1.28,1.117,1.077,1.073,1.01,0.825,0.633,0.383
T60,,1.73,1.329,1.238,1.101,1.08,1.068,1.002,0.818,0.627,0.3855
STI male,,0.60 (Good),,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
ir_row_1c_sl_front_1,,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000,16000
T20 [s],,2.035,1.357,1.235,1.034,1.01,1.052,0.992,0.855,0.655,0.391
T30 [s],,2.062,1.404,1.262,1.082,1.058,1.053,1.006,0.867,0.643,0.375
T60,,2.0485,1.3805,1.2485,1.058,1.034,1.0525,0.999,0.861,0.649,0.383
STI male,,0.59 (Fair),,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
ir_row_1c_sl_front_3,,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000,16000
T20 [s],,2.982,1.538,1.281,0.99,1.121,1.03,1.019,0.861,0.65,0.439
T30 [s],,2.614,2.011,1.278,1.082,1.11,1.07,1.01,0.859,0.625,0.415
T60,,2.798,1.7745,1.2795,1.036,1.1155,1.05,1.0145,0.86,0.6375,0.427
STI male,,0.61 (Good),,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
ir_row_1c_sl_front_4,,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000,16000
T20 [s],,2.432,1.426,1.467,1.054,1.089,1.039,0.936,0.819,0.677,0.458
T30 [s],,2.304,1.93,2.489,1.071,1.091,1.059,0.983,0.836,0.643,0.446
T60,,2.368,1.678,1.978,1.0625,1.09,1.049,0.9595,0.8275,0.66,0.452
STI male,,0.55 (Fair),,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
ir_row_1l_sl_centre_1,,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000,16000
T20 [s],,2.088,1.297,1.147,1.127,1.004,1.086,0.992,0.848,0.621,0.435
T30 [s],,2.615,1.5,1.399,1.114,1.068,1.099,0.998,0.844,0.627,0.421
T60,,2.3515,1.3985,1.273,1.1205,1.036,1.0925,0.995,0.846,0.624,0.428
STI male,,0.52 (Fair),,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
ir_row_1l_sl_centre_2,,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000,16000
T20 [s],,1.675,1.532,1.387,1.21,1.152,1.087,1.002,0.854,0.618,0.427
T30 [s],,1.817,1.477,1.33,1.17,1.092,1.087,0.992,0.857,0.621,0.411
T60,,1.746,1.5045,1.3585,1.19,1.122,1.087,0.997,0.8555,0.6195,0.419
STI male,,0.56 (Fair),,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
ir_row_1l_sl_centre_3,,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000,16000
T20 [s],,1.826,1.631,1.175,1.168,1.133,1.1,0.99,0.846,0.604,0.461
T30 [s],,1.888,1.657,1.256,1.157,1.133,1.11,1.02,0.868,0.608,0.435
T60,,1.857,1.644,1.2155,1.1625,1.133,1.105,1.005,0.857,0.606,0.448
STI male,,0.48 (Fair),,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
ir_row_1l_sl_centre_4,,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000,16000
T20 [s],,2.114,1.367,1.399,1.153,1.086,1.127,1.048,0.788,0.576,0.456
T30 [s],,2.583,2.107,1.348,1.17,1.094,1.117,1.008,0.847,0.612,0.42
T60,,2.3485,1.737,1.3735,1.1615,1.09,1.122,1.028,0.8175,0.594,0.438
STI male,,0.54 (Fair),,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
ir_row_2l_diagonal_mid_2,,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000,16000
T20 [s],,1.571,1.436,1.373,1.092,1.203,1.113,1.027,0.855,0.562,0.389
T30 [s],,1.497,1.643,1.356,1.147,1.163,1.108,1.026,0.866,0.595,0.422
T60,,1.534,1.5395,1.3645,1.1195,1.183,1.1105,1.0265,0.8605,0.5785,0.4055
STI male,,0.63 (Good),,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
ir_row_2l_diagonal_mid_3,,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000,16000
T20 [s],,2.694,1.616,1.319,1.119,1.103,1.131,1.008,0.856,0.584,0.436
T30 [s],,2.905,1.648,1.402,1.145,1.126,1.127,1.032,0.851,0.605,4.653
T60,,2.7995,1.632,1.3605,1.132,1.1145,1.129,1.02,0.8535,0.5945,2.5445
STI male,,0.53 (Fair),,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
ir_row_2l_diagonal_mid_4,,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000,16000
T20 [s],,1.848,1.573,1.333,1.1,1.089,1.083,1.002,0.854,0.625,0.373
T30 [s],,2.405,1.871,1.452,1.094,1.057,1.1,1.025,0.835,0.635,0.549
T60,,2.1265,1.722,1.3925,1.097,1.073,1.0915,1.0135,0.8445,0.63,0.461
STI male,,0.58 (Fair),,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
ir_row_3c_centre_front_1,,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000,16000
T20 [s],,1.728,1.391,1.353,0.962,1.012,1.151,1.053,0.859,0.633,0.424
T30 [s],,1.713,1.392,1.404,1.044,1.047,1.128,1.059,0.855,0.646,0.392
T60,,1.7205,1.3915,1.3785,1.003,1.0295,1.1395,1.056,0.857,0.6395,0.408
STI male,,0.62 (Good),,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
ir_row_3c_centre_front_2,,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000,16000
T20 [s],,1.462,1.187,1.233,1.158,1.151,1.059,1.058,0.932,0.626,0.422
T30 [s],,1.624,1.09,1.359,1.143,1.089,1.058,1.037,0.896,0.622,0.397
T60,,1.543,1.1385,1.296,1.1505,1.12,1.0585,1.0475,0.914,0.624,0.4095
STI male,,0.71 (Good),,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
ir_row_3c_centre_front_3,,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000,16000
T20 [s],,2.777,2.037,1.402,1.222,1.143,1.151,0.999,0.819,0.601,0.403
T30 [s],,3.213,2.764,2.639,1.242,1.161,1.111,1.014,0.848,0.603,0.396
T60,,2.995,2.4005,2.0205,1.232,1.152,1.131,1.0065,0.8335,0.602,0.3995
STI male,,0.57 (Fair),,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
ir_row_3c_centre_front_4,,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000,16000
T20 [s],,1.982,1.346,1.245,1.133,1.06,1.107,1.046,0.856,0.613,0.376
T30 [s],,2.212,1.426,1.345,1.055,1.067,1.064,1.027,0.868,0.622,0.385
T60,,2.097,1.386,1.295,1.094,1.0635,1.0855,1.0365,0.862,0.6175,0.3805
STI male,,0.56 (Fair),,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
ir_row_3l_centre_mid_3,,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000,16000
T20 [s],,2.121,2.464,1.615,1.169,1.236,1.174,1.091,0.888,0.622,0.396
T30 [s],,2.551,2.965,2.778,1.175,1.189,1.151,1.04,0.88,0.623,0.498
T60,,2.336,2.7145,2.1965,1.172,1.2125,1.1625,1.0655,0.884,0.6225,0.447
STI male,,0.62 (Good),,,,,,,,,
