ir_p1_2,,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000,16000
T20 [s],,1.19,2.154,1.024,0.848,0.667,0.632,0.442,0.332,0.279,0.232
T30 [s],,2.037,2.544,1.13,0.926,0.839,0.653,0.502,0.351,0.296,0.238
T60,,1.6135,2.349,1.077,0.887,0.753,0.6425,0.472,0.3415,0.2875,0.235
STI male,,0.80 (Excellent),,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
ir_p1_3,,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000,16000
T20 [s],,1.084,1.381,1.258,0.736,0.774,0.622,0.485,0.361,0.3,0.23
T30 [s],,1.153,1.805,1.32,0.841,0.815,0.629,0.495,0.385,0.311,0.242
T60,,1.1185,1.593,1.289,0.7885,0.7945,0.6255,0.49,0.373,0.3055,0.236
STI male,,0.77 (Excellent),,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
ir_p1_4,,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000,16000
T20 [s],,1.152,1.389,1.294,0.807,0.691,0.591,0.514,0.346,0.272,0.234
T30 [s],,1.264,1.271,1.362,0.91,0.883,0.641,0.517,0.362,0.291,0.238
T60,,1.208,1.33,1.328,0.8585,0.787,0.616,0.5155,0.354,0.2815,0.236
STI male,,0.76 (Excellent),,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
ir_p2_0_1,,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000,16000
T20 [s],,1.481,2.047,0.974,0.634,0.864,0.685,0.524,0.397,0.322,0.251
T30 [s],,1.295,2.239,1.291,1.009,0.961,0.727,0.562,0.4,0.326,0.256
T60,,1.388,2.143,1.1325,0.8215,0.9125,0.706,0.543,0.3985,0.324,0.2535
STI male,,0.77 (Excellent),,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
ir_p2_0_2,,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000,16000
T20 [s],,1.577,2.138,1.135,0.853,0.828,0.638,0.502,0.366,0.304,0.25
T30 [s],,2.537,2.326,1.423,0.979,0.936,0.709,0.509,0.383,0.314,0.252
T60,,2.057,2.232,1.279,0.916,0.882,0.6735,0.5055,0.3745,0.309,0.251
STI male,,0.80 (Excellent),,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
ir_p2_0_3,,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000,16000
T20 [s],,0.942,1.293,1.165,0.942,0.884,0.714,0.565,0.397,0.317,0.257
T30 [s],,1.04,1.692,1.398,1.046,0.913,0.761,0.564,0.41,0.331,0.261
T60,,0.991,1.4925,1.2815,0.994,0.8985,0.7375,0.5645,0.4035,0.324,0.259
STI male,,0.77 (Excellent),,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
ir_p2_1,,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000,16000
T20 [s],,1.481,2.047,0.974,0.634,0.864,0.685,0.524,0.397,0.322,0.251
T30 [s],,1.295,2.239,1.291,1.009,0.961,0.727,0.562,0.4,0.326,0.256
T60,,1.388,2.143,1.1325,0.8215,0.9125,0.706,0.543,0.3985,0.324,0.2535
C:\Users\dave\Desktop\openairselected\openairselected\hoffmann-lime-kiln-langcliffeuk\ir_p2_1.wav,2022/10/13 19:50,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000,16000
T20 [s],,1.481,2.047,0.974,0.634,0.864,0.685,0.524,0.397,0.322,0.251
T30 [s],,1.295,2.239,1.291,1.009,0.961,0.727,0.562,0.4,0.326,0.256
T60,,1.388,2.143,1.1325,0.8215,0.9125,0.706,0.543,0.3985,0.324,0.2535
ir_p2_2,,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000,16000
T20 [s],,1.577,2.138,1.135,0.853,0.828,0.638,0.502,0.366,0.304,0.25
T30 [s],,2.537,2.326,1.423,0.979,0.936,0.709,0.509,0.383,0.314,0.252
T60,,2.057,2.232,1.279,0.916,0.882,0.6735,0.5055,0.3745,0.309,0.251
STI male,,0.80 (Excellent),,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
ir_p2_3,,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000,16000
T20 [s],,0.942,1.293,1.165,0.942,0.884,0.714,0.565,0.397,0.317,0.257
T30 [s],,1.04,1.692,1.398,1.046,0.913,0.761,0.564,0.41,0.331,0.261
T60,,0.991,1.4925,1.2815,0.994,0.8985,0.7375,0.5645,0.4035,0.324,0.259
STI male,,0.77 (Excellent),,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
ir_p3_1,,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000,16000
T20 [s],,1.032,1.391,1.12,0.972,0.948,0.653,0.521,0.421,0.366,0.292
T30 [s],,1.691,1.926,1.411,1.011,0.973,0.684,0.54,0.407,0.364,0.292
T60,,1.3615,1.6585,1.2655,0.9915,0.9605,0.6685,0.5305,0.414,0.365,0.292
STI male,,0.72 (Good),,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
ir_p3_2,,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000,16000
T20 [s],,1.208,1.253,1.166,0.898,0.814,0.717,0.565,0.414,0.359,0.283
T30 [s],,1.723,1.869,1.586,0.992,0.881,0.698,0.568,0.411,0.352,0.287
T60,,1.4655,1.561,1.376,0.945,0.8475,0.7075,0.5665,0.4125,0.3555,0.285
STI male,,0.77 (Excellent),,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
ir_p3_3,,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000,16000
T20 [s],,0.941,1.886,1.201,0.998,0.985,0.73,0.56,0.421,0.356,0.284
T30 [s],,0.954,2.027,1.367,0.948,0.973,0.773,0.571,0.417,0.358,0.284
T60,,0.9475,1.9565,1.284,0.973,0.979,0.7515,0.5655,0.419,0.357,0.284
STI male,,0.72 (Good),,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
ir_p3_4,,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000,16000
T20 [s],,1.95,2.269,1.232,1.065,0.93,0.684,0.503,0.425,0.372,0.283
T30 [s],,2.098,2.278,1.59,1.078,0.968,0.755,0.529,0.427,0.36,0.283
T60,,2.024,2.2735,1.411,1.0715,0.949,0.7195,0.516,0.426,0.366,0.283
STI male,,0.70 (Good),,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
ir_p4_1,,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000,16000
T20 [s],,2.208,2.053,1.208,0.91,0.907,0.738,0.525,0.419,0.363,0.284
T30 [s],,1.78,2.192,1.296,0.945,0.945,0.727,0.536,0.418,0.355,0.288
T60,,1.994,2.1225,1.252,0.9275,0.926,0.7325,0.5305,0.4185,0.359,0.286
STI male,,0.73 (Good),,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
ir_p4_3,,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000,16000
T20 [s],,1.849,2.847,1.12,0.947,0.895,0.676,0.576,0.408,0.366,0.291
T30 [s],,1.786,2.261,1.295,1.076,0.973,0.738,0.555,0.407,0.356,0.283
T60,,1.8175,2.554,1.2075,1.0115,0.934,0.707,0.5655,0.4075,0.361,0.287
STI male,,0.74 (Good),,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
ir_p4_4,,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000,16000
T20 [s],,2.154,0.976,1.137,1.073,0.908,0.694,0.519,0.411,0.363,0.285
T30 [s],,2.21,2.277,1.573,1.04,0.935,0.733,0.553,0.402,0.359,0.287
T60,,2.182,1.6265,1.355,1.0565,0.9215,0.7135,0.536,0.4065,0.361,0.286
STI male,,0.73 (Good),,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
ir_p5_1,,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000,16000
T20 [s],,1.878,1.415,0.81,0.884,0.87,0.646,0.485,0.384,0.313,0.252
T30 [s],,2.385,1.762,1.205,0.963,0.933,0.648,0.526,0.39,0.327,0.256
T60,,2.1315,1.5885,1.0075,0.9235,0.9015,0.647,0.5055,0.387,0.32,0.254
STI male,,0.76 (Excellent),,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
ir_p5_2,,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000,16000
T20 [s],,0.665,2.239,0.792,0.886,0.842,0.662,0.482,0.388,0.31,0.259
T30 [s],,1.404,2.445,0.908,1.001,0.953,0.709,0.521,0.389,0.324,0.262
T60,,1.0345,2.342,0.85,0.9435,0.8975,0.6855,0.5015,0.3885,0.317,0.2605
STI male,,0.78 (Excellent),,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
ir_p5_3,,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000,16000
T20 [s],,2.013,1.282,1.121,0.627,0.798,0.715,0.568,0.394,0.323,0.258
T30 [s],,2.367,2.498,1.406,0.945,0.87,0.725,0.571,0.398,0.332,0.262
T60,,2.19,1.89,1.2635,0.786,0.834,0.72,0.5695,0.396,0.3275,0.26
STI male,,0.77 (Excellent),,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
ir_p5_4,,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000,16000
T20 [s],,1.305,1.256,1.257,0.923,0.713,0.711,0.547,0.378,0.318,0.251
T30 [s],,1.401,1.615,1.523,1.05,0.809,0.724,0.556,0.394,0.321,0.259
T60,,1.353,1.4355,1.39,0.9865,0.761,0.7175,0.5515,0.386,0.3195,0.255
STI male,,0.75 (Excellent),,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
ir_p6_1,,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000,16000
T20 [s],,1.897,1.665,1.464,0.872,0.702,0.663,0.532,0.412,0.353,0.279
T30 [s],,2.439,2.323,1.52,1.073,0.868,0.703,0.532,0.403,0.348,0.278
T60,,2.168,1.994,1.492,0.9725,0.785,0.683,0.532,0.4075,0.3505,0.2785
STI male,,0.75 (Excellent),,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
ir_p6_2,,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000,16000
T20 [s],,1.591,1.258,1.356,0.828,0.749,0.636,0.522,0.393,0.344,0.278
T30 [s],,1.796,1.935,1.474,0.93,0.838,0.69,0.541,0.391,0.345,0.279
T60,,1.6935,1.5965,1.415,0.879,0.7935,0.663,0.5315,0.392,0.3445,0.2785
STI male,,0.79 (Excellent),,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
ir_p6_3,,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000,16000
T20 [s],,1.548,1.415,1.119,1.012,0.846,0.658,0.533,0.397,0.335,0.269
T30 [s],,1.647,1.639,1.088,1.04,0.916,0.696,0.55,0.395,0.346,0.275
T60,,1.5975,1.527,1.1035,1.026,0.881,0.677,0.5415,0.396,0.3405,0.272
STI male,,0.75 (Excellent),,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
ir_p6_4,,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000,16000
T20 [s],,1.329,1.293,1.283,1.012,0.807,0.724,0.56,0.39,0.355,0.28
T30 [s],,1.298,1.552,1.426,0.986,0.919,0.723,0.554,0.386,0.349,0.28
T60,,1.3135,1.4225,1.3545,0.999,0.863,0.7235,0.557,0.388,0.352,0.28
STI male,,0.73 (Good),,,,,,,,,
