Mic config:,Room:,Room decode:,Room Config:,Channel:,FB T60:,Mean T60:,FB DRR:,Mean DRR:,Freq:,T60:,Mean T60:,DRR:,Mean DRR:,Freq:,T60:,Mean T60:,DRR:,Mean DRR:,Freq:,T60:,Mean T60:,DRR:,Mean DRR:,Freq:,T60:,Mean T60:,DRR:,Mean DRR:,Freq:,T60:,Mean T60:,DRR:,Mean DRR:,Freq:,T60:,Mean T60:,DRR:,Mean DRR:,Freq:,T60:,Mean T60:,DRR:,Mean DRR:,Freq:,T60:,Mean T60:,DRR:,Mean DRR:,Freq:,T60:,Mean T60:,DRR:,Mean DRR:,Freq:,T60:,Mean T60:,DRR:,Mean DRR:,Freq:,T60:,Mean T60:,DRR:,Mean DRR:,Freq:,T60:,Mean T60:,DRR:,Mean DRR:,Freq:,T60:,Mean T60:,DRR:,Mean DRR:,Freq:,T60:,Mean T60:,DRR:,Mean DRR:,Freq:,T60:,Mean T60:,DRR:,Mean DRR:,Freq:,T60:,Mean T60:,DRR:,Mean DRR:,Freq:,T60:,Mean T60:,DRR:,Mean DRR:,Freq:,T60:,Mean T60:,DRR:,Mean DRR:,Freq:,T60:,Mean T60:,DRR:,Mean DRR:,Freq:,T60:,Mean T60:,DRR:,Mean DRR:,Freq:,T60:,Mean T60:,DRR:,Mean DRR:,Freq:,T60:,Mean T60:,DRR:,Mean DRR:,Freq:,T60:,Mean T60:,DRR:,Mean DRR:,Freq:,T60:,Mean T60:,DRR:,Mean DRR:,Freq:,T60:,Mean T60:,DRR:,Mean DRR:,Freq:,T60:,Mean T60:,DRR:,Mean DRR:,Freq:,T60:,Mean T60:,DRR:,Mean DRR:,Freq:,T60:,Mean T60:,DRR:,Mean DRR:,Freq:,T60:,Mean T60:,DRR:,Mean DRR:,Freq:,T60:,Mean T60:,DRR:,Mean DRR:
arthur-sykes-rymer-auditorium-university-york,s1r7_2,s1r7_2,b-format,1,0,0,0,0,25.11886,0,0,0,0,31.6227766,0.79,0.79,0,0,39.81072,0,0,0,0,50.11872,0,0,0,0,63.09573,0.74,0.74,0,0,79.43282,0,0,0,0,100,0,0,0,0,125.8925,0.45,0.45,0,0,158.4893,0,0,0,0,199.5262,0,0,0,0,251.1886,0.35,0.35,0,0,316.2278,0,0,0,0,398.1072,0,0,0,0,501.1872,0.42,0.42,0,0,630.9573,0,0,0,0,794.3282,0,0,0,0,1000,0.4,0.4,0,0,1258.925,0,0,0,0,1584.893,0,0,0,0,1995.262,0.38,0.38,0,0,2511.886,0,0,0,0,3162.278,0,0,0,0,3981.072,0.32,0.32,0,0,5011.872,0,0,0,0,6309.573,0,0,0,0,7943.282,0.3,0.3,0,0,10000,0,0,0,0,12589.25,0,0,0,0,15848.93,0.25,0.25,0,0,19952.62,0,0,0,0
arthur-sykes-rymer-auditorium-university-york,s1r7_3,s1r7_3,b-format,1,0,0,0,0,25.11886,0,0,0,0,31.6227766,2.28,2.28,0,0,39.81072,0,0,0,0,50.11872,0,0,0,0,63.09573,0.96,0.96,0,0,79.43282,0,0,0,0,100,0,0,0,0,125.8925,0.56,0.56,0,0,158.4893,0,0,0,0,199.5262,0,0,0,0,251.1886,0.38,0.38,0,0,316.2278,0,0,0,0,398.1072,0,0,0,0,501.1872,0.44,0.44,0,0,630.9573,0,0,0,0,794.3282,0,0,0,0,1000,0.41,0.41,0,0,1258.925,0,0,0,0,1584.893,0,0,0,0,1995.262,0.4,0.4,0,0,2511.886,0,0,0,0,3162.278,0,0,0,0,3981.072,0.33,0.33,0,0,5011.872,0,0,0,0,6309.573,0,0,0,0,7943.282,0.29,0.29,0,0,10000,0,0,0,0,12589.25,0,0,0,0,15848.93,0.23,0.23,0,0,19952.62,0,0,0,0
arthur-sykes-rymer-auditorium-university-york,s1r7_4,s1r7_4,b-format,1,0,0,0,0,25.11886,0,0,0,0,31.6227766,0.77,0.77,0,0,39.81072,0,0,0,0,50.11872,0,0,0,0,63.09573,0.69,0.69,0,0,79.43282,0,0,0,0,100,0,0,0,0,125.8925,0.49,0.49,0,0,158.4893,0,0,0,0,199.5262,0,0,0,0,251.1886,0.3,0.3,0,0,316.2278,0,0,0,0,398.1072,0,0,0,0,501.1872,0.42,0.42,0,0,630.9573,0,0,0,0,794.3282,0,0,0,0,1000,0.43,0.43,0,0,1258.925,0,0,0,0,1584.893,0,0,0,0,1995.262,0.38,0.38,0,0,2511.886,0,0,0,0,3162.278,0,0,0,0,3981.072,0.32,0.32,0,0,5011.872,0,0,0,0,6309.573,0,0,0,0,7943.282,0.3,0.3,0,0,10000,0,0,0,0,12589.25,0,0,0,0,15848.93,0.23,0.23,0,0,19952.62,0,0,0,0
arthur-sykes-rymer-auditorium-university-york,s2r4_1,s2r4_1,b-format,1,0,0,0,0,25.11886,0,0,0,0,31.6227766,1.9,1.9,0,0,39.81072,0,0,0,0,50.11872,0,0,0,0,63.09573,0.96,0.96,0,0,79.43282,0,0,0,0,100,0,0,0,0,125.8925,0.61,0.61,0,0,158.4893,0,0,0,0,199.5262,0,0,0,0,251.1886,0.38,0.38,0,0,316.2278,0,0,0,0,398.1072,0,0,0,0,501.1872,0.4,0.4,0,0,630.9573,0,0,0,0,794.3282,0,0,0,0,1000,0.38,0.38,0,0,1258.925,0,0,0,0,1584.893,0,0,0,0,1995.262,0.36,0.36,0,0,2511.886,0,0,0,0,3162.278,0,0,0,0,3981.072,0.32,0.32,0,0,5011.872,0,0,0,0,6309.573,0,0,0,0,7943.282,0.26,0.26,0,0,10000,0,0,0,0,12589.25,0,0,0,0,15848.93,0.14,0.14,0,0,19952.62,0,0,0,0
arthur-sykes-rymer-auditorium-university-york,s2r4_2,s2r4_2,b-format,1,0,0,0,0,25.11886,0,0,0,0,31.6227766,0.47,0.47,0,0,39.81072,0,0,0,0,50.11872,0,0,0,0,63.09573,0.71,0.71,0,0,79.43282,0,0,0,0,100,0,0,0,0,125.8925,0.62,0.62,0,0,158.4893,0,0,0,0,199.5262,0,0,0,0,251.1886,0.43,0.43,0,0,316.2278,0,0,0,0,398.1072,0,0,0,0,501.1872,0.42,0.42,0,0,630.9573,0,0,0,0,794.3282,0,0,0,0,1000,0.4,0.4,0,0,1258.925,0,0,0,0,1584.893,0,0,0,0,1995.262,0.35,0.35,0,0,2511.886,0,0,0,0,3162.278,0,0,0,0,3981.072,0.34,0.34,0,0,5011.872,0,0,0,0,6309.573,0,0,0,0,7943.282,0.29,0.29,0,0,10000,0,0,0,0,12589.25,0,0,0,0,15848.93,0.14,0.14,0,0,19952.62,0,0,0,0
arthur-sykes-rymer-auditorium-university-york,s2r4_3,s2r4_3,b-format,1,0,0,0,0,25.11886,0,0,0,0,31.6227766,0.99,0.99,0,0,39.81072,0,0,0,0,50.11872,0,0,0,0,63.09573,1.02,1.02,0,0,79.43282,0,0,0,0,100,0,0,0,0,125.8925,0.79,0.79,0,0,158.4893,0,0,0,0,199.5262,0,0,0,0,251.1886,0.44,0.44,0,0,316.2278,0,0,0,0,398.1072,0,0,0,0,501.1872,0.42,0.42,0,0,630.9573,0,0,0,0,794.3282,0,0,0,0,1000,0.38,0.38,0,0,1258.925,0,0,0,0,1584.893,0,0,0,0,1995.262,0.34,0.34,0,0,2511.886,0,0,0,0,3162.278,0,0,0,0,3981.072,0.3,0.3,0,0,5011.872,0,0,0,0,6309.573,0,0,0,0,7943.282,0.27,0.27,0,0,10000,0,0,0,0,12589.25,0,0,0,0,15848.93,0.16,0.16,0,0,19952.62,0,0,0,0
arthur-sykes-rymer-auditorium-university-york,s2r4_4,s2r4_4,b-format,1,0,0,0,0,25.11886,0,0,0,0,31.6227766,0.95,0.95,0,0,39.81072,0,0,0,0,50.11872,0,0,0,0,63.09573,0.78,0.78,0,0,79.43282,0,0,0,0,100,0,0,0,0,125.8925,0.76,0.76,0,0,158.4893,0,0,0,0,199.5262,0,0,0,0,251.1886,0.36,0.36,0,0,316.2278,0,0,0,0,398.1072,0,0,0,0,501.1872,0.42,0.42,0,0,630.9573,0,0,0,0,794.3282,0,0,0,0,1000,0.4,0.4,0,0,1258.925,0,0,0,0,1584.893,0,0,0,0,1995.262,0.36,0.36,0,0,2511.886,0,0,0,0,3162.278,0,0,0,0,3981.072,0.3,0.3,0,0,5011.872,0,0,0,0,6309.573,0,0,0,0,7943.282,0.25,0.25,0,0,10000,0,0,0,0,12589.25,0,0,0,0,15848.93,0.15,0.15,0,0,19952.62,0,0,0,0
arthur-sykes-rymer-auditorium-university-york,s2r6_1,s2r6_1,b-format,1,0,0,0,0,25.11886,0,0,0,0,31.6227766,0.48,0.48,0,0,39.81072,0,0,0,0,50.11872,0,0,0,0,63.09573,0.44,0.44,0,0,79.43282,0,0,0,0,100,0,0,0,0,125.8925,0.55,0.55,0,0,158.4893,0,0,0,0,199.5262,0,0,0,0,251.1886,0.4,0.4,0,0,316.2278,0,0,0,0,398.1072,0,0,0,0,501.1872,0.37,0.37,0,0,630.9573,0,0,0,0,794.3282,0,0,0,0,1000,0.39,0.39,0,0,1258.925,0,0,0,0,1584.893,0,0,0,0,1995.262,0.37,0.37,0,0,2511.886,0,0,0,0,3162.278,0,0,0,0,3981.072,0.32,0.32,0,0,5011.872,0,0,0,0,6309.573,0,0,0,0,7943.282,0.27,0.27,0,0,10000,0,0,0,0,12589.25,0,0,0,0,15848.93,0.17,0.17,0,0,19952.62,0,0,0,0
arthur-sykes-rymer-auditorium-university-york,s2r6_2,s2r6_2,b-format,1,0,0,0,0,25.11886,0,0,0,0,31.6227766,0.53,0.53,0,0,39.81072,0,0,0,0,50.11872,0,0,0,0,63.09573,0.82,0.82,0,0,79.43282,0,0,0,0,100,0,0,0,0,125.8925,0.61,0.61,0,0,158.4893,0,0,0,0,199.5262,0,0,0,0,251.1886,0.36,0.36,0,0,316.2278,0,0,0,0,398.1072,0,0,0,0,501.1872,0.39,0.39,0,0,630.9573,0,0,0,0,794.3282,0,0,0,0,1000,0.4,0.4,0,0,1258.925,0,0,0,0,1584.893,0,0,0,0,1995.262,0.37,0.37,0,0,2511.886,0,0,0,0,3162.278,0,0,0,0,3981.072,0.33,0.33,0,0,5011.872,0,0,0,0,6309.573,0,0,0,0,7943.282,0.28,0.28,0,0,10000,0,0,0,0,12589.25,0,0,0,0,15848.93,0.18,0.18,0,0,19952.62,0,0,0,0
arthur-sykes-rymer-auditorium-university-york,s2r6_3,s2r6_3,b-format,1,0,0,0,0,25.11886,0,0,0,0,31.6227766,0.67,0.67,0,0,39.81072,0,0,0,0,50.11872,0,0,0,0,63.09573,0.5,0.5,0,0,79.43282,0,0,0,0,100,0,0,0,0,125.8925,0.53,0.53,0,0,158.4893,0,0,0,0,199.5262,0,0,0,0,251.1886,0.4,0.4,0,0,316.2278,0,0,0,0,398.1072,0,0,0,0,501.1872,0.38,0.38,0,0,630.9573,0,0,0,0,794.3282,0,0,0,0,1000,0.39,0.39,0,0,1258.925,0,0,0,0,1584.893,0,0,0,0,1995.262,0.37,0.37,0,0,2511.886,0,0,0,0,3162.278,0,0,0,0,3981.072,0.33,0.33,0,0,5011.872,0,0,0,0,6309.573,0,0,0,0,7943.282,0.27,0.27,0,0,10000,0,0,0,0,12589.25,0,0,0,0,15848.93,0.18,0.18,0,0,19952.62,0,0,0,0
arthur-sykes-rymer-auditorium-university-york,s2r6_4,s2r6_4,b-format,1,0,0,0,0,25.11886,0,0,0,0,31.6227766,0.64,0.64,0,0,39.81072,0,0,0,0,50.11872,0,0,0,0,63.09573,0.61,0.61,0,0,79.43282,0,0,0,0,100,0,0,0,0,125.8925,0.49,0.49,0,0,158.4893,0,0,0,0,199.5262,0,0,0,0,251.1886,0.38,0.38,0,0,316.2278,0,0,0,0,398.1072,0,0,0,0,501.1872,0.34,0.34,0,0,630.9573,0,0,0,0,794.3282,0,0,0,0,1000,0.38,0.38,0,0,1258.925,0,0,0,0,1584.893,0,0,0,0,1995.262,0.35,0.35,0,0,2511.886,0,0,0,0,3162.278,0,0,0,0,3981.072,0.31,0.31,0,0,5011.872,0,0,0,0,6309.573,0,0,0,0,7943.282,0.26,0.26,0,0,10000,0,0,0,0,12589.25,0,0,0,0,15848.93,0.19,0.19,0,0,19952.62,0,0,0,0
arthur-sykes-rymer-auditorium-university-york,s2r7_1,s2r7_1,b-format,1,0,0,0,0,25.11886,0,0,0,0,31.6227766,1.16,1.16,0,0,39.81072,0,0,0,0,50.11872,0,0,0,0,63.09573,0.76,0.76,0,0,79.43282,0,0,0,0,100,0,0,0,0,125.8925,0.38,0.38,0,0,158.4893,0,0,0,0,199.5262,0,0,0,0,251.1886,0.36,0.36,0,0,316.2278,0,0,0,0,398.1072,0,0,0,0,501.1872,0.4,0.4,0,0,630.9573,0,0,0,0,794.3282,0,0,0,0,1000,0.42,0.42,0,0,1258.925,0,0,0,0,1584.893,0,0,0,0,1995.262,0.36,0.36,0,0,2511.886,0,0,0,0,3162.278,0,0,0,0,3981.072,0.33,0.33,0,0,5011.872,0,0,0,0,6309.573,0,0,0,0,7943.282,0.3,0.3,0,0,10000,0,0,0,0,12589.25,0,0,0,0,15848.93,0.24,0.24,0,0,19952.62,0,0,0,0
arthur-sykes-rymer-auditorium-university-york,s2r7_2,s2r7_2,b-format,1,0,0,0,0,25.11886,0,0,0,0,31.6227766,1.02,1.02,0,0,39.81072,0,0,0,0,50.11872,0,0,0,0,63.09573,0.73,0.73,0,0,79.43282,0,0,0,0,100,0,0,0,0,125.8925,0.46,0.46,0,0,158.4893,0,0,0,0,199.5262,0,0,0,0,251.1886,0.37,0.37,0,0,316.2278,0,0,0,0,398.1072,0,0,0,0,501.1872,0.42,0.42,0,0,630.9573,0,0,0,0,794.3282,0,0,0,0,1000,0.42,0.42,0,0,1258.925,0,0,0,0,1584.893,0,0,0,0,1995.262,0.38,0.38,0,0,2511.886,0,0,0,0,3162.278,0,0,0,0,3981.072,0.34,0.34,0,0,5011.872,0,0,0,0,6309.573,0,0,0,0,7943.282,0.3,0.3,0,0,10000,0,0,0,0,12589.25,0,0,0,0,15848.93,0.25,0.25,0,0,19952.62,0,0,0,0
arthur-sykes-rymer-auditorium-university-york,s2r7_3,s2r7_3,b-format,1,0,0,0,0,25.11886,0,0,0,0,31.6227766,0.79,0.79,0,0,39.81072,0,0,0,0,50.11872,0,0,0,0,63.09573,0.75,0.75,0,0,79.43282,0,0,0,0,100,0,0,0,0,125.8925,0.42,0.42,0,0,158.4893,0,0,0,0,199.5262,0,0,0,0,251.1886,0.35,0.35,0,0,316.2278,0,0,0,0,398.1072,0,0,0,0,501.1872,0.41,0.41,0,0,630.9573,0,0,0,0,794.3282,0,0,0,0,1000,0.41,0.41,0,0,1258.925,0,0,0,0,1584.893,0,0,0,0,1995.262,0.38,0.38,0,0,2511.886,0,0,0,0,3162.278,0,0,0,0,3981.072,0.34,0.34,0,0,5011.872,0,0,0,0,6309.573,0,0,0,0,7943.282,0.3,0.3,0,0,10000,0,0,0,0,12589.25,0,0,0,0,15848.93,0.22,0.22,0,0,19952.62,0,0,0,0
arthur-sykes-rymer-auditorium-university-york,s2r7_4,s2r7_4,b-format,1,0,0,0,0,25.11886,0,0,0,0,31.6227766,0.82,0.82,0,0,39.81072,0,0,0,0,50.11872,0,0,0,0,63.09573,0.95,0.95,0,0,79.43282,0,0,0,0,100,0,0,0,0,125.8925,0.42,0.42,0,0,158.4893,0,0,0,0,199.5262,0,0,0,0,251.1886,0.34,0.34,0,0,316.2278,0,0,0,0,398.1072,0,0,0,0,501.1872,0.41,0.41,0,0,630.9573,0,0,0,0,794.3282,0,0,0,0,1000,0.4,0.4,0,0,1258.925,0,0,0,0,1584.893,0,0,0,0,1995.262,0.38,0.38,0,0,2511.886,0,0,0,0,3162.278,0,0,0,0,3981.072,0.34,0.34,0,0,5011.872,0,0,0,0,6309.573,0,0,0,0,7943.282,0.3,0.3,0,0,10000,0,0,0,0,12589.25,0,0,0,0,15848.93,0.23,0.23,0,0,19952.62,0,0,0,0
